N Proj,Promotor,Designacao,Instrumento,Aviso,Aut Gestao,Org Intermedio,Concelho,Regiao,Sector,CAE (Rev3),Estrategia de Eficiencia Colectiva,Data de Aprovacao,Investimento Elegivel,Incentivo,N Contribuinte do Promotor
39359,"TECNICOEMBALAGEM - TRANSFORMAcaO DE PAPEL, SA",INTERNACIONALTEC,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Leiria,Centro,Industria,17212 - Fabricacao de outras embalagens de papel e de cartao,,21-Nov-14,4979807,3236874,501527753
39156,"IMPL - MECaNICA DE PRECISaO, UNIPESSOAL, LDA",MELHORIA DE PROCESSOS E MODERNIZAcaO TECNOLoGICA DA UNIDADE,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO Centro,IAPMEI,Pombal,Centro,Industria,25620 - Actividades de mecanica geral,,12-Nov-14,467397,303808,504358405
27309,"IMOBILIaRIA FALANCES E FONTES, LDA",ARTHOTEL - CULTURAL & BUSINESS-SPA,SI Inovacao/Inovacao Produtiva,02/SI/2012,PO Norte,TP,Guimaraes,Norte,Turismo,55111 - Hoteis com restaurante,PCT do Turismo,30-Out-14,4853410,3640058,502068213
38171,"ARALAB - EQUIPAMENTOS DE LABORAToRIO E ELECTROMECaNICA GERAL, LDA",LEDING - INCORPORAcaO DA ILUMINAcaO LED EM CaMARAS CLIMaTICAS PARA A CULTURA DE ESPeCIES VEGETAIS EM AMBIENTE CONTROLADO,I&DT Empresas/Projectos Individuais,07/SI/2012,PO Alentejo,IAPMEI,evora,Alentejo,Industria,"28992 - Fabricacao de outras maquinas diversas para uso especifico, ne",,14-Ago-14,165768,73899,501516590
42414,"GUMELO, LDA",AVALIAcaO DAS POTENCIALIDADES DE UTILIZAcaO DE RESiDUOS E SUBPRODUTOS AGROINDUSTRIAIS COMO SUBSTRATO PARA O CRESCIMENTO DE COGUMELOS GOURMET PRONTOS-A-CRESCER,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Alentejo,IAPMEI,Almeirim,Alentejo,Outros sectores,01300 - Cultura de materiais de propagacao vegetativa,,14-Ago-14,14500,10875,510130640
42109,"PRICELESSBIZ - CONSULTADORIA DE GESTaO, LDA",PRICELESS - PLANO DE NEGoCIOS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Alentejo,IAPMEI,Alcacer do Sal,Alentejo,Servicos,"74900 - Outras actividades de consultoria, cientificas, tecnicas e similares, ne",,14-Ago-14,20000,15000,510464394
42305,"PARCELMIX, LDA",DESENVOLVIMENTO DE PLATAFORMA ELETRoNICA DA PARCELMIX,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Alentejo,IAPMEI,Chamusca,Alentejo,Transportes,49410 - Transportes rodoviarios de mercadorias,,14-Ago-14,18280,13710,510585469
38412,"MASTERDREAM - DIGITAL MOVIE, LDA",CONSULTORIA PARA ELABORAcaO DE PLANO DE NEGoCIOS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Algarve,IAPMEI,Portimao,Algarve,Servicos,"59110 - Producao de filmes, de videos e de programas de televisao",,06-Ago-14,19950,14963,510666280
34083,"HORTO DA CIDADE - PRODUcaO E COMeRCIO DE PLANTAS, LDA","BIOSUBSTRATPOT - CONCEcaO DE UM MEIO DE CULTURA/«SUBSTRATO COMPACTO PARA PLANTAcaO, INOVADOR, 100% BIODEGRADaVEL, COMPOSTO POR BIORESiDUOS PROCESSADOS E BIOPOLiMEROS ESTRUTURAIS, E DESENVOLVIDO EM FORMAS MODULARES ACOPLaVEIS DESTINADOS A SUBSTITUIR A UTI",I&DT Empresas/Projectos Individuais,07/SI/2012,PO Norte,IAPMEI,Santo Tirso,Norte,Industria,20152 - Fabricacao de adubos organicos e organo-minerais,,01-Ago-14,273902,143169,504854763
34142,"PARSEC, SISTEMAS DE INFORMAcaO E CONTROLO, SA",PCA-MICROTESTBED - MINIATURIZAcaO DA TECNOLOGIA DE MAQUINAcaO DE CAMAS DE AGULHAS,I&DT Empresas/Projectos Individuais,07/SI/2012,PO Norte,IAPMEI,Matosinhos,Norte,Industria,"26512 - Fabricacao de instrumentos e aparelhos de medida, verificacao, navegacao e outros fins, ne",,01-Ago-14,200991,129524,503033910
